2024/02/04 00:53:43.165 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: i/o timeout
2024/02/04 01:49:07.269 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: i/o timeout
2024/02/04 01:49:39.279 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: i/o timeout
2024/02/04 04:34:34.554 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 04:51:42.826 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 17:46:47.868 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 18:20:14.977 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 18:20:16.982 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 18:33:08.724 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 18:33:10.730 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 18:33:12.735 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:05:45.223 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 19:05:47.228 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:21:28.909 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:21:30.914 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:21:32.918 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:34:08.604 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:34:10.610 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:34:12.614 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 19:49:46.517 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 20:06:23.429 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: operation timed out
2024/02/04 20:06:25.435 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 20:06:27.440 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 20:24:25.128 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 20:24:27.133 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 20:35:07.807 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
2024/02/04 20:35:09.811 [E] [connection.go:67]  consul Error querying service: Get "http://10.10.234.116:8511/v1/health/service/xthirdapi?passing=1": dial tcp 10.10.234.116:8511: connect: host is down
